"Name","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential","Id"
"Christian McCaffrey","SF","RB","1","RB1","1.2","RB1","0.2","830517"
"CeeDee Lamb","DAL","WR","2","WR1","2.1","WR1","0.1","1062020"
"Tyreek Hill","MIA","WR","3","WR2","3.2","WR2","0.2","823156"
"Ja'Marr Chase","CIN","WR","4","WR3","4.4","WR3","0.4","1109979"
"Amon-Ra St. Brown","DET","WR","5","WR4","5.2","WR4","0.2","1127106"
"Justin Jefferson","MIN","WR","6","WR5","5.8","WR5","-0.2","1069535"
"Bijan Robinson","ATL","RB","7","RB2","7.1","RB2","0.1","1228244"
"Puka Nacua","LAR","WR","8","WR6","9.1","WR6","1.1","1162128"
"Breece Hall","NYJ","RB","9","RB3","8.6","RB3","-0.4","1162537"
"Drake London","ATL","WR","10","WR7","15.5","WR10","5.5","1178741"
"A.J. Brown","PHI","WR","11","WR8","10.0","WR7","-1.0","944826"
"Garrett Wilson","NYJ","WR","12","WR9","11.2","WR8","-0.8","1164889"
"Marvin Harrison Jr.","ARI","WR","13","WR10","13.8","WR9","0.8","1287828"
"Jahmyr Gibbs","DET","RB","14","RB4","12.7","RB4","-1.3","1214154"
"Chris Olave","NO","WR","15","WR11","19.4","WR13","4.4","1122592"
"Davante Adams","LV","WR","16","WR12","17.9","WR11","1.9","611417"
"Malik Nabers","NYG","WR","17","WR13","32.7","WR22","15.7","1286059"
"Nico Collins","HOU","WR","18","WR14","18.4","WR12","0.4","1074698"
"Devonta Smith","PHI","WR","19","WR15","29.5","WR19","10.5","1060262"
"Mike Evans","TB","WR","20","WR16","23.4","WR15","3.4","593587"
"Brandon Aiyuk","SF","WR","21","WR17","21.1","WR14","0.1","1107034"
"Jaylen Waddle","MIA","WR","22","WR18","23.8","WR16","1.8","1125749"
"Michael Pittman","IND","WR","23","WR19","35.3","WR23","12.3","911348"
"D.J. Moore","CHI","WR","24","WR20","32.5","WR21","8.5","877790"
"Deebo Samuel","SF","WR","25","WR21","27.0","WR17","2.0","835749"
"Saquon Barkley","PHI","RB","26","RB5","15.2","RB5","-10.8","883302"
"Sam LaPorta","DET","TE","27","TE1","28.5","TE2","1.5","1168926"
"DK Metcalf","SEA","WR","28","WR22","35.7","WR24","7.7","945633"
"Stefon Diggs","HOU","WR","29","WR23","31.2","WR20","2.2","694041"
"Jonathan Taylor","IND","RB","30","RB6","16.0","RB6","-14.0","1065406"
"De'Von Achane","MIA","RB","31","RB7","21.7","RB7","-9.3","1231820"
"Cooper Kupp","LAR","WR","32","WR24","28.7","WR18","-3.3","698227"
"Travis Kelce","KC","TE","33","TE2","25.7","TE1","-7.3","448240"
"Jalen Hurts","PHI","QB","34","QB1","39.4","QB2","5.4","913271"
"Tee Higgins","CIN","WR","35","WR25","50.0","WR30","15.0","978579"
"Christian Kirk","JAX","WR","36","WR26","48.5","WR29","12.5","865801"
"Tank Dell","HOU","WR","37","WR27","41.3","WR26","4.3","1128222"
"Kyren Williams","LAR","RB","38","RB8","27.4","RB9","-10.6","1167361"
"Josh Jacobs","GB","RB","39","RB9","47.3","RB12","8.3","944416"
"Josh Allen","BUF","QB","40","QB2","34.2","QB1","-5.8","868199"
"Isiah Pacheco","KC","RB","41","RB10","40.3","RB11","-0.7","1106832"
"Travis Etienne","JAX","RB","42","RB11","37.6","RB10","-4.4","978577"
"Zay Flowers","BAL","WR","43","WR28","38.1","WR25","-4.9","1177053"
"Trey McBride","ARI","TE","44","TE3","45.6","TE3","1.6","1108161"
"Keenan Allen","CHI","WR","45","WR29","56.5","WR32","11.5","557210"
"Lamar Jackson","BAL","QB","46","QB3","42.1","QB3","-3.9","877745"
"Derrick Henry","BAL","RB","47","RB12","24.3","RB8","-22.7","732145"
"Chris Godwin","TB","WR","48","WR30","66.2","WR36","18.2","835127"
"Rachaad White","TB","RB","49","RB13","54.6","RB14","5.6","1229343"
"Dalton Kincaid","BUF","TE","50","TE4","50.5","TE4","0.5","1135513"
"James Cook","BUF","RB","51","RB14","53.0","RB13","2.0","1131012"
"Mark Andrews","BAL","TE","52","TE5","52.7","TE5","0.7","820699"
