Name,Team,Position,Rank,ADP,ADP Differential,Week 17,Week 16,Week 15,Division,Exposure
Christian McCaffrey,SF,RB,1,1.3,0.3,DET,MIA,LAR,NFC WEST,4.0
CeeDee Lamb,DAL,WR,2,2.1,0.1,PHI,TB,CAR,NFC EAST,0.0
Tyreek Hill,MIA,WR,3,3.3,0.3,CLE,SF,HOU,AFC EAST,12.0
Amon-Ra St. Brown,DET,WR,4,4.7,0.7,SF,CHI,BUF,NFC NORTH,8.0
Justin Jefferson,MIN,WR,5,7.0,2.0,GB,SEA,CHI,NFC NORTH,12.0
Ja'Marr Chase,CIN,WR,6,7.6,1.6,DEN,CLE,TEN,AFC NORTH,12.0
Bijan Robinson,ATL,RB,7,6.1,-0.9,WAS,NYG,LV,NFC SOUTH,8.0
Breece Hall,NYJ,RB,8,5.1,-2.9,BUF,LAR,JAX,AFC EAST,0.0
Puka Nacua,LAR,WR,9,12.6,3.6,ARI,NYJ,SF,NFC WEST,24.0
A.J. Brown,PHI,WR,10,9.4,-0.6,DAL,WAS,PIT,NFC EAST,16.0
Garrett Wilson,NYJ,WR,11,10.1,-0.9,BUF,LAR,JAX,AFC EAST,4.0
Marvin Harrison Jr.,ARI,WR,12,13.2,1.2,LAR,CAR,NE,NFC WEST,0.0
Drake London,ATL,WR,13,18.0,5.0,WAS,NYG,LV,NFC SOUTH,20.0
Jahmyr Gibbs,DET,RB,14,15.3,1.3,SF,CHI,BUF,NFC NORTH,8.0
Cooper Kupp,LAR,WR,15,16.6,1.6,ARI,NYJ,SF,NFC WEST,8.0
Chris Olave,NO,WR,16,23.7,7.7,LV,GB,WAS,NFC SOUTH,16.0
Davante Adams,LV,WR,17,26.2,9.2,NO,JAX,ATL,AFC WEST,12.0
Nico Collins,HOU,WR,18,19.8,1.8,BAL,KC,MIA,AFC SOUTH,12.0
Jaylen Waddle,MIA,WR,19,27.8,8.8,CLE,SF,HOU,AFC EAST,12.0
Jonathan Taylor,IND,RB,20,13.9,-6.1,NYG,TEN,DEN,AFC SOUTH,4.0
Malik Nabers,NYG,WR,21,26.9,5.9,IND,ATL,BAL,NFC EAST,20.0
De'Von Achane,MIA,RB,22,17.6,-4.4,CLE,SF,HOU,AFC EAST,4.0
Devonta Smith,PHI,WR,23,31.3,8.3,DAL,WAS,PIT,NFC EAST,0.0
Saquon Barkley,PHI,RB,24,13.6,-10.4,DAL,WAS,PIT,NFC EAST,12.0
Brandon Aiyuk,SF,WR,25,30.3,5.3,DET,MIA,LAR,NFC WEST,8.0
Deebo Samuel,SF,WR,26,22.3,-3.7,DET,MIA,LAR,NFC WEST,0.0
Rashee Rice,KC,WR,27,33.9,6.9,PIT,HOU,CLE,AFC WEST,16.0
Mike Evans,TB,WR,28,28.6,0.6,CAR,DAL,LAC,NFC SOUTH,4.0
D.J. Moore,CHI,WR,29,33.4,4.4,SEA,DET,MIN,NFC NORTH,0.0
Kyren Williams,LAR,RB,30,21.0,-9.0,ARI,NYJ,SF,NFC WEST,4.0
Michael Pittman,IND,WR,31,40.7,9.7,NYG,TEN,DEN,AFC SOUTH,0.0
DK Metcalf,SEA,WR,32,35.2,3.2,CHI,MIN,GB,NFC WEST,8.0
Stefon Diggs,HOU,WR,33,43.1,10.1,BAL,KC,MIA,AFC SOUTH,8.0
Sam LaPorta,DET,TE,34,40.0,6.0,SF,CHI,BUF,NFC NORTH,4.0
Travis Kelce,KC,TE,35,32.3,-2.7,PIT,HOU,CLE,AFC WEST,0.0
Josh Jacobs,GB,RB,36,34.3,-1.7,MIN,NO,SEA,NFC NORTH,4.0
Tee Higgins,CIN,WR,37,49.3,12.3,DEN,CLE,TEN,AFC NORTH,12.0
Zay Flowers,BAL,WR,38,45.8,7.8,HOU,PIT,NYG,AFC NORTH,24.0
Jalen Hurts,PHI,QB,39,41.1,2.1,DAL,WAS,PIT,NFC EAST,8.0
Josh Allen,BUF,QB,40,37.0,-3.0,NYJ,NE,DET,AFC EAST,0.0
Isiah Pacheco,KC,RB,41,24.8,-16.2,PIT,HOU,CLE,AFC WEST,0.0
Travis Etienne,JAX,RB,42,28.8,-13.2,TEN,LV,NYJ,AFC SOUTH,0.0
Derrick Henry,BAL,RB,43,21.7,-21.3,HOU,PIT,NYG,AFC NORTH,0.0
Tank Dell,HOU,WR,44,44.9,0.9,BAL,KC,MIA,AFC SOUTH,16.0
Lamar Jackson,BAL,QB,45,46.5,1.5,HOU,PIT,NYG,AFC NORTH,8.0
Trey McBride,ARI,TE,46,47.0,1.0,LAR,CAR,NE,NFC WEST,4.0
Christian Kirk,JAX,WR,47,63.4,16.4,TEN,LV,NYJ,AFC SOUTH,16.0
Amari Cooper,CLE,WR,48,52.7,4.7,MIA,CIN,KC,AFC NORTH,4.0
Dalton Kincaid,BUF,TE,49,51.5,2.5,NYJ,NE,DET,AFC EAST,0.0
Rachaad White,TB,RB,50,50.2,0.2,CAR,DAL,LAC,NFC SOUTH,20.0
Terry McLaurin,WAS,WR,51,47.6,-3.4,ATL,PHI,NO,NFC EAST,8.0
James Cook,BUF,RB,52,43.9,-8.1,NYJ,NE,DET,AFC EAST,0.0
Patrick Mahomes,KC,QB,53,38.5,-14.5,PIT,HOU,CLE,AFC WEST,0.0
George Pickens,PIT,WR,54,56.3,2.3,KC,BAL,PHI,AFC NORTH,4.0
Mark Andrews,BAL,TE,55,58.0,3.0,HOU,PIT,NYG,AFC NORTH,4.0
Chris Godwin,TB,WR,56,66.2,10.2,CAR,DAL,LAC,NFC SOUTH,8.0
Xavier Worthy,KC,WR,57,54.7,-2.3,PIT,HOU,CLE,AFC WEST,0.0
Kyle Pitts,ATL,TE,58,64.1,6.1,WAS,NYG,LV,NFC SOUTH,16.0
Joe Mixon,HOU,RB,59,54.8,-4.2,BAL,KC,MIA,AFC SOUTH,4.0
Keenan Allen,CHI,WR,60,71.2,11.2,SEA,DET,MIN,NFC NORTH,20.0
Rome Odunze,CHI,WR,61,71.4,10.4,SEA,DET,MIN,NFC NORTH,20.0
Kenneth Walker,SEA,RB,62,52.4,-9.6,CHI,MIN,GB,NFC WEST,0.0
Evan Engram,JAX,TE,63,70.2,7.2,TEN,LV,NYJ,AFC SOUTH,16.0
George Kittle,SF,TE,64,66.5,2.5,DET,MIA,LAR,NFC WEST,8.0
Jayden Reed,GB,WR,65,69.5,4.5,MIN,NO,SEA,NFC NORTH,8.0
Alvin Kamara,NO,RB,66,55.8,-10.2,LV,GB,WAS,NFC SOUTH,4.0
