My Team 1,My Team 2,My Team 3,My Team 4,My Team 5,My Team 6,My Team 7,My Team 8,My Team 9,My Team 10,My Team 11,My Team 12,My Team 13
4,7,11,9,10,11,6,9,4,3,10,6,1
A. St. Brown,A. Brown,P. Nacua,P. Nacua,A. Brown,G. Wilson,A. St. Brown,B. Robinson,J. Chase,T. Hill,P. Nacua,J. Chase,C. McCaffrey
WR,WR,WR,WR,WR,WR,WR,RB,WR,WR,WR,WR,RB
DET,PHI,LAR,LAR,PHI,NYJ,DET,ATL,CIN,MIA,LAR,CIN,SF
(BYE 5),(BYE 5),(BYE 6),(BYE 6),(BYE 5),(BYE 12),(BYE 5),(BYE 12),(BYE 12),(BYE 6),(BYE 6),(BYE 12),(BYE 9)
2.9,2.6,2.2,2.4,2.3,2.2,2.7,2.4,2.9,2.1,2.3,2.7,2.12
B. Aiyuk,D. Adams,S. Barkley,D. London,J. Taylor,A. Brown,D. London,C. Olave,N. Collins,K. Williams,S. Barkley,D. Adams,S. LaPorta
WR,WR,RB,WR,RB,WR,WR,WR,WR,RB,RB,WR,TE
SF,LV,PHI,ATL,IND,PHI,ATL,NO,HOU,LAR,PHI,LV,DET
(BYE 9),(BYE 10),(BYE 5),(BYE 12),(BYE 14),(BYE 5),(BYE 12),(BYE 12),(BYE 14),(BYE 6),(BYE 5),(BYE 10),(BYE 5)
3.4,3.7,3.11,3.9,3.1,3.11,3.6,3.9,3.4,3.3,3.1,3.6,3.1
D. Samuel Sr.,N. Collins,D. Samuel Sr.,Z. Flowers,D. Achane,D. Smith,D. Samuel Sr.,Z. Flowers,S. Diggs,J. Waddle,M. Pittman Jr.,C. Kupp,D. Samuel Sr.
WR,WR,WR,WR,RB,WR,WR,WR,WR,WR,WR,WR,WR
SF,HOU,SF,BAL,MIA,PHI,SF,BAL,HOU,MIA,IND,LAR,SF
(BYE 9),(BYE 14),(BYE 9),(BYE 14),(BYE 6),(BYE 5),(BYE 9),(BYE 14),(BYE 14),(BYE 6),(BYE 14),(BYE 6),(BYE 9)
4.9,4.6,4.2,4.4,4.3,4.2,4.7,4.4,4.9,4.1,4.3,4.7,4.12
T. Dell,Z. Flowers,D. Smith,L. Jackson,J. Hurts,M. Nabers,J. Waddle,L. Jackson,T. Higgins,A. Cooper,D. Metcalf,M. Pittman Jr.,Z. Flowers
WR,WR,WR,QB,QB,WR,WR,QB,WR,WR,WR,WR,WR
HOU,BAL,PHI,BAL,PHI,NYG,MIA,BAL,CIN,CLE,SEA,IND,BAL
(BYE 14),(BYE 14),(BYE 5),(BYE 14),(BYE 5),(BYE 11),(BYE 6),(BYE 14),(BYE 12),(BYE 10),(BYE 10),(BYE 14),(BYE 14)
